name,ra,dec,dist,mag,ci,spect
HIP 66222,203.589585,4.667399,21.322,9.95,1.385,M0.5V:
Heze,203.673300,-0.59582,22.7118,3.38,0.114,A3V
HIP 66252,203.680035,-8.342037,20.2102,9.24,1.21,K7V
HIP 66459,204.369690,35.717763,10.9361,9.06,1.391,M9
HIP 66492,204.463725,48.138077,22.1386,9.77,1.384,M0...
HIP 66587,204.744540,-6.236801,23.5682,10.73,1.419,K5
HIP 66625,204.850470,46.186493,13.009,10.24,1.368,M2
HIP 66675,205.029720,-4.186104,14.7973,9.61,1.376,M0V
HIP 66765,205.267275,-34.464156,15.6544,6.92,0.855,K1V
HIP 66781,205.305885,56.727173,24.6366,7.77,0.83,K0IV-V
HIP 66840,205.482045,-0.129144,23.6407,9.76,1.288,M0V
HIP 66886,205.608480,-1.686272,24.1313,9.24,1.186,K7V
HIP 66906,205.680345,33.290104,9.279,12.03,2.4,M:
HIP 67090,206.271120,17.78544,13.2398,9.79,1.42,
HIP 67105,206.311320,8.835976,20.9864,8.47,1.051,K2
HIP 67153,206.422065,-33.043721,19.4024,4.23,0.39,F3V
HIP 67155,206.432250,14.89152,5.3911,8.46,1.435,M3V
HIP 67164,206.461335,-17.968218,10.2438,11.81,1.542,M:
HIP 67275,206.815650,17.456906,15.6177,4.5,0.508,F7V
HIP 67308,206.925645,-32.430021,14.4907,8.13,1.322,K5/M1V+K5
HIP 67422,207.266775,26.979911,13.4084,7.05,1.11,K2
HIP 67487,207.437025,-22.111093,14.3,8.16,1.257,K4/K5V
HIP 67593,207.761550,23.776677,5.3259,13.31,,
HIP 67620,207.834840,-24.390368,19.4742,6.43,0.703,G5V
HIP 67691,207.999450,49.950907,14.2045,8.82,1.317,K5
HIP 67742,208.150290,-50.92175,17.0794,7.37,0.891,K1V
HIP 67761,208.222815,-18.338024,23.2937,11.79,1.496,
HIP 67808,208.364850,12.942616,20.9512,9.78,1.369,M0
HIP 67842,208.449015,78.851893,24.1488,10.63,1.421,M0
Muphrid,208.671165,18.397717,11.396,2.68,0.58,G0IV
HIP 67960,208.760745,-29.090532,17.2622,9.53,1.414,K5/M0V
HIP 68030,208.958325,14.056503,24.8633,6.16,0.518,F6V
HIP 68184,209.383665,61.492861,10.0644,6.49,1.04,K3V
HIP 68337,209.830875,22.869754,24.8016,9.05,1.16,K
HIP 68469,210.263280,-2.654864,10.0281,9.71,1.461,K5
HIP 68570,210.581760,13.689637,19.857,10.68,1.559,M0
HIP 68682,210.884790,10.786779,16.9837,6.27,0.733,G8V
Menkent,211.670925,-36.369954,18.0343,2.06,1.011,K0IIIb
HIP 69064,212.051430,80.597276,16.9205,10.31,1.379,M2
HIP 69285,212.739555,-31.290326,16.7842,10.77,,
HIP 69357,212.942400,-12.611766,23.3863,7.93,0.865,K1V
HIP 69414,213.188505,-3.320084,22.0507,7.05,0.733,G0
HIP 69454,213.302940,-56.742061,11.6795,10.2,1.5,M2V:
HIP 69485,213.379980,-6.958981,19.3648,10.15,1.418,M0
HIP 69526,213.487980,30.217187,17.4277,8.03,1.064,K5
